nohup: ignorando entrada
[2021-06-04 11:29:18][10] Processing: App\Jobs\NotificacaoAppJob
[2021-06-04 11:29:21][10] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-04 11:31:31][11] Processing: App\Jobs\NotificacaoAppJob
[2021-06-04 11:31:34][11] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-07 08:48:07][12] Processing: App\Jobs\NotificacaoAppJob
[2021-06-07 08:48:07][12] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-07 13:42:23][13] Processing: App\Jobs\NotificacaoAppJob
[2021-06-07 13:42:24][13] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-08 15:53:21][14] Processing: App\Jobs\NotificacaoAppJob
[2021-06-08 15:53:22][14] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-09 15:34:56][15] Processing: App\Jobs\NotificacaoAppJob
[2021-06-09 15:34:57][15] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:40:48][16] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:40:48][16] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:40:52][17] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:40:53][17] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:45:21][18] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:45:21][18] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:45:49][19] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:45:49][19] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:46:24][20] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:46:24][20] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:46:56][21] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:46:56][21] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:47:14][22] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:47:14][22] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:47:32][23] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:47:32][23] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:48:44][24] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:48:45][24] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:49:37][25] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:49:37][25] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:50:22][26] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:50:23][26] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:50:41][27] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:50:41][27] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:52:19][28] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:52:19][28] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:52:44][29] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:52:45][29] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:53:02][30] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:53:03][30] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-10 15:55:06][31] Processing: App\Jobs\NotificacaoAppJob
[2021-06-10 15:55:07][31] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 08:23:45][32] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 08:23:46][32] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 08:24:49][33] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 08:24:49][33] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 08:24:57][34] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 08:24:57][34] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 08:27:40][35] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 08:27:40][35] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 08:27:48][36] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 08:27:49][36] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:22][37] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:23][37] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:37][38] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:38][38] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:49][39] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:23:49][39] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:28:01][40] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:28:01][40] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:32:45][41] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:32:46][41] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 09:34:15][42] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 09:34:16][42] Processed:  App\Jobs\NotificacaoAppJob
[2021-06-11 14:07:26][43] Processing: App\Jobs\NotificacaoAppJob
[2021-06-11 14:07:27][43] Processed:  App\Jobs\NotificacaoAppJob
